FIPS_COUNTY,State,state,climate,POP,AGE_GR0,AGE_GR1,AGE_GR2,AGE_GR3,AGE_GR4,MALE,AFFGEOID,HISPANIC,ASIAN_ALL,BLACK_NH,BLACK_ALL,WHITE_NH,WHITE_ALL,POVERTY,EDU,POP_DENSITY,ATKINSON,CORRRATIO,cases_WAVE1,deaths_WAVE1,cases_rate_WAVE1,deaths_rate_WAVE1,cases_WAVE2,deaths_WAVE2,cases_rate_WAVE2,deaths_rate_WAVE2,cases_WAVE3,deaths_WAVE3,cases_rate_WAVE3,deaths_rate_WAVE3
47183,47,Tennessee,Central,33626,1.22045441,0.3222209,0.25081782,0.152471302,0.024504847,0.491911021,0500000US47183,0.024207459,0.002230417,0.086480699,0.086480699,0.86977339,0.885118658,0.201722692,0.843239469,22.37098228,0.583208416,0.057846505,30,0,89.21667757,0,812,13,2414.798073,38.66056028,1884,27,5602.807351,80.29500981
47185,47,Tennessee,Central,26580,1.243566591,0.278856283,0.276749436,0.178028593,0.019977427,0.48841234,0500000US47185,0.024604966,0.001918736,0.020090293,0.020090293,0.935891648,0.959330324,0.173956339,0.821552971,27.2449927,0.648914823,0.037390558,48,2,180.5869074,7.524454477,516,5,1941.309255,18.81113619,1866,29,7020.316027,109.1045899
47187,47,Tennessee,Central,218648,1.273320588,0.289739673,0.284969449,0.112194029,0.011932421,0.489467089,0500000US47187,0.047368373,0.041422743,0.042168234,0.042556987,0.850284476,0.892356665,0.043478061,0.955635542,144.8367408,0.690719116,0.024767333,703,12,321.5213494,5.488273389,3666,16,1676.66752,7.317697852,10693,80,4890.508946,36.58848926
47189,47,Tennessee,Central,132663,1.255414094,0.306581338,0.280470063,0.139375711,0.011615899,0.490385413,0500000US47189,0.040493581,0.015060718,0.069748159,0.069974296,0.855604049,0.880162517,0.081517008,0.911894709,89.69051632,0.654757544,0.051422212,518,13,390.463053,9.799265809,2310,18,1741.254155,13.5682142,7769,76,5856.192005,57.2880155
48001,48,Texas,South,57863,1.208561602,0.385185697,0.260684721,0.126851356,0.014845411,0.611997304,0500000US48001,0.175276083,0.005513022,0.209581252,0.209823203,0.592986883,0.735340373,0.1480738,0.801209265,21.02428029,0.588245948,0.109376882,102,0,176.2784508,0,2400,18,4147.728255,31.10796191,1647,38,2846.378515,65.67236403
48003,48,Texas,South,17818,1.294421372,0.335952408,0.218543046,0.090133573,0.013301156,0.510831743,0500000US48003,0.560051633,0.00353575,0.01801549,0.019811427,0.404927601,0.924009429,0.103607927,0.745994345,4.584174535,0.374577812,0.008105697,28,0,157.1444607,0,339,8,1902.570434,44.89841733,941,11,5281.176339,61.73532383
48005,48,Texas,South,87607,1.267170432,0.311744495,0.249249489,0.133391167,0.022155764,0.486935975,0500000US48005,0.218863789,0.011494515,0.146495143,0.147956214,0.607440045,0.791854532,0.183040502,0.810876439,42.39912091,0.650142297,0.138983646,309,5,352.7115413,5.707306494,1941,62,2215.576381,70.77060052,2556,58,2917.57508,66.20475533
48007,48,Texas,South,24763,1.254573355,0.239833623,0.28518354,0.240197068,0.025562331,0.485643904,0500000US48007,0.272826394,0.019706821,0.014739733,0.015385858,0.674029803,0.892622057,0.20334319,0.848808999,37.93324765,0.514285674,0.035356991,6,0,24.22969753,0,206,18,831.886282,72.6890926,417,3,1683.963979,12.11484877
48009,48,Texas,South,8789,1.240300375,0.271475708,0.299237683,0.170326545,0.022414382,0.492206167,0500000US48009,0.082717033,0.005347594,0.008647173,0.009216066,0.884287177,0.948230743,0.092537313,0.909723346,3.756773403,0.469235621,0.010515593,3,0,34.13357606,0,46,0,523.3814996,0,399,4,4539.765616,45.51143475
48011,48,Texas,South,1916,1.232776618,0.253131524,0.318371608,0.179018789,0.029749478,0.501043841,0500000US48011,0.068371608,0,0.003653445,0.003653445,0.9065762,0.955114823,0.073170732,0.88393489,0.813732656,2.22E-16,0,2,0,104.3841336,0,9,0,469.7286013,0,87,5,4540.709812,260.960334
48013,48,Texas,South,48828,1.282665684,0.315720488,0.237916769,0.126648644,0.015093799,0.499672319,0500000US48013,0.638977636,0.003112968,0.002539527,0.002539527,0.338760547,0.927603015,0.150479108,0.772544961,15.45876401,0.581852148,0.00199213,42,2,86.0162202,4.096010486,526,25,1077.250758,51.20013107,2069,26,4237.322848,53.24813632
48015,48,Texas,South,29565,1.251344495,0.281616777,0.274852021,0.161508541,0.020936919,0.496668358,0500000US48015,0.264468121,0.003010316,0.087130052,0.088821241,0.62658549,0.805344157,0.107834101,0.831032085,17.65700997,0.460768409,0.020246203,34,0,115.0008456,0,383,6,1295.450702,20.29426687,434,8,1467.95197,27.05902249
48017,48,Texas,South,7092,1.262267343,0.345036661,0.217287084,0.128313593,0.012690355,0.513254371,0500000US48017,0.642695995,0.009870276,0.006486182,0.007896221,0.330795262,0.834320361,0.145061728,0.740866803,3.311160591,3.33E-16,0,34,0,479.4134236,0,168,4,2368.866328,56.40157924,501,7,7064.2978,98.70276368
48019,48,Texas,South,21763,1.226990764,0.232826357,0.323209116,0.238248403,0.020585397,0.506915407,0500000US48019,0.184257685,0.002711023,0.007903322,0.007903322,0.782612691,0.912052566,0.149553986,0.893212615,10.62300586,0.575630192,0.019405784,7,0,32.16468318,0,102,4,468.6853834,18.37981896,360,7,1654.183706,32.16468318
48021,48,Texas,South,82577,1.26236119,0.297819005,0.278346271,0.127674776,0.014313913,0.508785739,0500000US48021,0.368008041,0.008912893,0.073834118,0.078690192,0.529893312,0.710621602,0.100484548,0.81013449,35.89726414,0.567565484,0.057553038,295,4,357.2423314,4.843963816,1287,23,1558.545358,27.85279194,1777,12,2151.930925,14.53189145
